dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
uvg,Bosphorus,1,3,G16,0.99,51949,51429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G16,0.975,51949,50650,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G16,0.95,51949,49351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G16,0.9,51949,46754,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G4,0.99,28168,27886,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G4,0.975,28168,27463,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G4,0.95,28168,26759,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G4,0.9,28168,25351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G8,0.99,28168,27886,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G8,0.975,28168,27463,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G8,0.95,28168,26759,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G8,0.9,28168,25351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G16,0.99,28168,27886,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G16,0.975,28168,27463,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G16,0.95,28168,26759,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,G16,0.9,28168,25351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G4,0.99,44679,44232,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G4,0.975,44679,43562,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G4,0.95,44679,42445,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G4,0.9,44679,40211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G8,0.99,44679,44232,43537,0.974439893462253,MIXED,8070,5873,25227,3109,1420,194,1064,26,8505,5981,2524,30.511438737673437,0.9789671320468187,0.12151567032560706,0.11651191208511591,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_G8_target_0.990_uvg_02_qp3_G8_T5525.bin,98f2b186242772a11f19167a5e60b0acff0f19232152e49d293e255b9cc5ec67
uvg,HoneyBee,2,3,G8,0.975,44679,43562,43537,0.974439893462253,MIXED,8070,5873,25227,3109,1420,194,1064,26,8505,5981,2524,30.511438737673437,0.9789671320468187,0.12151567032560706,0.11651191208511591,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_G8_target_0.990_uvg_02_qp3_G8_T5525.bin,98f2b186242772a11f19167a5e60b0acff0f19232152e49d293e255b9cc5ec67
uvg,HoneyBee,2,3,G8,0.95,44679,42445,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G8,0.9,44679,40211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G16,0.99,44679,44232,43553,0.9747980035363369,MIXED,8070,5825,25231,3101,622,101,1225,31,2520,1520,1000,30.545783574586018,0.9791193539276719,0.12152019992936403,0.11572478618472815,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_G16_target_0.990_uvg_02_qp3_G16_T5524.bin,834304d3abe8b413726a55508015cbcd0b494520adac5e0d7edcd32bffadf803
uvg,HoneyBee,2,3,G16,0.975,44679,43562,43553,0.9747980035363369,MIXED,8070,5825,25231,3101,622,101,1225,31,2520,1520,1000,30.545783574586018,0.9791193539276719,0.12152019992936403,0.11572478618472815,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_G16_target_0.990_uvg_02_qp3_G16_T5524.bin,834304d3abe8b413726a55508015cbcd0b494520adac5e0d7edcd32bffadf803
uvg,HoneyBee,2,3,G16,0.95,44679,42445,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,G16,0.9,44679,40211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
