candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
beta_low,original,fresh_ulong_104,LPIPS,0,106.4475,0.15110041748266667,0,96.57,0.14577984577044845,9.279222151764966
beta_low,original,fresh_ulong_104,DISTS,0,106.4475,0.10818523913621902,1,124.40625,0.10447901673614979,-16.870992742901425
beta_low,original,fresh_ulong_104,LPIPS,1,139.90125,0.12793638068251312,1,124.40625,0.12665107345674187,11.075669445412395
beta_low,original,fresh_ulong_104,DISTS,1,139.90125,0.10033024847507477,2,157.54125,0.09919904824346304,-12.60889377328651
beta_low,original,fresh_ulong_104,LPIPS,2,182.56875,0.113422283786349,3,202.33125,0.10269750154111534,-10.824689329362247
v3_beta_low,original,fresh_ulong_00,LPIPS,0,176.34,0.16652561782393605,0,175.005,0.15482585248537362,0.7570602245661862
v3_beta_low,original,fresh_ulong_00,DISTS,0,176.34,0.09301046747714281,0,175.005,0.08368497714400291,0.7570602245661862
v3_beta_low,original,fresh_ulong_00,LPIPS,1,216.19875,0.15376342937815934,1,214.98375,0.1410023522330448,0.5619828976809571
v3_beta_low,original,fresh_ulong_00,DISTS,1,216.19875,0.08793372195214033,0,175.005,0.08368497714400291,19.05364855254713
v3_beta_low,original,fresh_ulong_00,LPIPS,2,288.10875,0.1305051976814866,2,282.82125,0.12047836219426244,1.8352445040284104
v3_beta_low,original,fresh_ulong_00,DISTS,2,288.10875,0.07781535759568214,2,282.82125,0.06677039247006178,1.8352445040284104
v3_beta_low,original,fresh_ulong_00,LPIPS,3,362.05875,0.11635798751376569,3,351.37125,0.10805164836347103,2.9518689991610447
v3_beta_low,original,fresh_ulong_00,DISTS,3,362.05875,0.07021369971334934,2,282.82125,0.06677039247006178,21.88526033413084
v3_beta_low,original,fresh_ulong_01,LPIPS,0,157.1103896103896,0.15226008952595294,0,148.6476023976024,0.1419656059006229,5.386522962468387
v3_beta_low,original,fresh_ulong_01,DISTS,0,157.1103896103896,0.104271843098104,0,148.6476023976024,0.0887825321406126,5.386522962468387
v3_beta_low,original,fresh_ulong_01,LPIPS,1,195.0974025974026,0.13170657213777304,1,187.40634365634364,0.12160463456530124,3.942163677560595
v3_beta_low,original,fresh_ulong_01,DISTS,1,195.0974025974026,0.09059106092900038,0,148.6476023976024,0.0887825321406126,23.808517992242408
v3_beta_low,original,fresh_ulong_01,LPIPS,2,239.97002997002997,0.11544713017065078,2,224.16833166833166,0.10965604288503528,6.584863244660921
v3_beta_low,original,fresh_ulong_01,DISTS,2,239.97002997002997,0.0836072014644742,1,187.40634365634364,0.07721965294331312,21.904271262645192
v3_beta_low,original,fresh_ulong_01,LPIPS,3,295.9015984015984,0.10236039548180997,3,279.5866633366633,0.09585526760201901,5.513635327779609
v3_beta_low,original,fresh_ulong_01,DISTS,3,295.9015984015984,0.07474138494580984,2,224.16833166833166,0.07360018044710159,24.24227078216393
v3_beta_low,original,fresh_ulong_10,LPIPS,0,103.50899100899102,0.08790032682009041,0,100.84915084915085,0.08550745411776006,2.569670647846556
v3_beta_low,original,fresh_ulong_10,DISTS,0,103.50899100899102,0.08626880310475826,0,100.84915084915085,0.08486776053905487,2.569670647846556
v3_beta_low,original,fresh_ulong_10,LPIPS,1,132.28771228771228,0.07801714935339987,1,129.10714285714286,0.07688576146028936,2.40428183053919
