dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_3p0.bin,13050,13050,129fdf12e02c3a39c7f85becad2297b24330064adac2ba5391c254285cf8f6a9,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,4.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_4p0.bin,12501,12501,59d38f89945d911a3093b10cf8faa2c4c24ba5279cc1d5bfbc5636693d6565d4,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,6.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_6p0.bin,12067,12067,a867dd6123ae51873725314fcf8c236b41f36ceb0f33dd1671c9a53e16bf0fcb,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,8.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_8p0.bin,11515,11515,637614ca5c30e9eeee2840f2ecb534cead38689e1161072e6cf7342be707f499,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,3000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_3000p0.bin,12036,12036,d7db77ef962bf6c3f293c226875c59d9adb707b121aeff3485358d1cb6c2b7da,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,10000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_10000p0.bin,12040,12040,540a9691b0457c1cd64595794a704a11202a3dfefed234a8b9cf5cba7d293bca,True,NOT_SELECTED
uvg,Beauty,0,baseline,original,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_baseline_original.bin,8710,8710,f3b4aed86d71a35e8d476ddfb7b04c865d46d69d00e364e8f4b2a017b45713fd,True,PASS
uvg,Beauty,0,oracle,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_0p0.bin,31164,31164,1b3e7a30cefc7dc59ee395fd0d91d7064e20284ae250896a5478f0998b1ce2a5,True,NOT_SELECTED
uvg,Beauty,0,oracle,0.01,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_0p01.bin,31575,31575,d74f944660dc05c9d74bcaf2cb31bea97e341bfea126ada323d71d1c4f1b9196,True,NOT_SELECTED
uvg,Beauty,0,oracle,0.03,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_0p03.bin,31396,31396,41456e31fa50b9aa19d46e4dbec0773dd1d045b2c6289ef902cd715694412d28,True,NOT_SELECTED
uvg,Beauty,0,oracle,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_0p1.bin,31067,31067,fe55e9304d6750cd98d19d546bced2f2dbfcc98a8899254cd425249df67f0f08,True,NOT_SELECTED
uvg,Beauty,0,oracle,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_0p3.bin,31451,31451,3a9761d0cc42a4dc482c67b38ab67f3debb0ed912906dcffcff5edcdeb1d5fb1,True,NOT_SELECTED
uvg,Beauty,0,oracle,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_1p0.bin,29456,29456,45a1970c0c3118551902127ffa677af67f9700ebca5a6e002b1cdd14168e1adf,True,NOT_SELECTED
uvg,Beauty,0,oracle,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_3p0.bin,28780,28780,d0de74c12138c8cee21a4e4efe6df0500e0c63a774a256362d23c83800879cb7,True,NOT_SELECTED
