dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,21,MIX_L0,40,25,0,15,0,962,23015.3604448571,0.0036997427232563496,24.318284581165504,0.2340461015701294,0.08813941478729248
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,21,MIX_L0.01,40,35,5,0,0,966,23000.44788729814,0.0036973454989492893,24.321099458017777,0.2339032143354416,0.08800959587097168
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,22,FULL_000,40,40,0,0,0,1258,20491.546855954803,0.003294037189334631,24.822714954602155,0.2220236361026764,0.09196662902832031
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,22,MIX_L0,40,26,0,14,0,1306,20497.67956369504,0.0032950229942798615,24.82141539304258,0.22196710109710693,0.09198188781738281
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,23,FULL_000,40,40,0,0,0,951,20467.123789688587,0.003290111431851983,24.827894226292607,0.21520984172821045,0.09420126676559448
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,23,MIX_L0,40,29,0,11,0,1000,20465.840379263405,0.003289904911071062,24.828166563308592,0.21522130072116852,0.09414315223693848
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,24,FULL_000,40,40,0,0,0,1433,18792.09239242194,0.0030208483804017305,25.198710999011283,0.20939573645591736,0.10023164749145508
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,24,MIX_L0,40,33,0,7,0,1476,18797.280468989367,0.0030216823797672987,25.197512174520362,0.20947670936584473,0.10018092393875122
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,25,FULL_000,40,40,0,0,0,2359,16341.805659245292,0.0026269617956131697,25.805461974529877,0.17337122559547424,0.09316623210906982
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,25,MIX_L0,40,32,0,8,0,2384,16350.144778833797,0.0026283024344593287,25.803246362643012,0.17377221584320068,0.09314167499542236
