scope,dataset,video,video_id,qp,granularity,frame,channel,tile,num_symbols,exact_match_rate,MAE,mean_squared_error,RMSE,signed_error
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,16,,,522240,0.9997243285179138,0.00027573530678637326,0.00027573530678637326,0.016605279485343606,-8.04227966000326e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,17,,,522240,0.9992226362228394,0.0007774204132147133,0.0007774204132147133,0.02788225982976834,-9.19117737794295e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,18,,,522240,0.9997913241386414,0.00020871631568297744,0.00020871631568297744,0.01444701753591299,-1.914828544613556e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,19,,,522240,0.9998162388801575,0.000183823547558859,0.000183823547558859,0.013558154282897764,-3.829657089227112e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,20,,,522240,0.9997051954269409,0.00029488358995877206,0.00029488358995877206,0.01717217487561701,-2.6807600079337135e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,21,,,522240,0.9996745586395264,0.00032552084303461015,0.00032552084303461015,0.018042196181025472,-1.1488971722428687e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,22,,,522240,0.9996305108070374,0.00036956192343495786,0.00036956192343495786,0.019223993430995494,-1.723345667414833e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,23,,,522240,0.9996496438980103,0.0003504136111587286,0.0003504136111587286,0.01871933789317156,-5.7444858612143435e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,24,,,522240,0.9996477365493774,0.0003523284394759685,0.0003523284394759685,0.018770413939920676,-4.978554352419451e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,25,,,522240,0.9990177750587463,0.00098230701405555,0.00098230701405555,0.031341777455268074,-8.9996938186232e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,26,,,522240,0.9998085498809814,0.0001914828608278185,0.0001914828608278185,0.013837733225778654,-1.914828499138821e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,27,,,522240,0.9998047351837158,0.00019531251746229827,0.00019531251746229827,0.013975425484123847,-1.1488971722428687e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,28,,,522240,0.9996745586395264,0.00032552084303461015,0.00032552084303461015,0.018042196181025472,-5.744485679315403e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,29,,,522240,0.9997396469116211,0.0002604166802484542,0.0002604166802484542,0.01613743103001386,-2.6807600079337135e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,30,,,522240,0.9998047351837158,0.00019531251746229827,0.00019531251746229827,0.013975425484123847,-3.446691334829666e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,31,,,522240,0.9998679161071777,0.000132123168441467,0.000132123168441467,0.011494484261656413,-1.914828544613556e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,32,,,522240,0.9997798800468445,0.00022020528558641672,0.00022020528558641672,0.014839315536318268,-3.255208503105678e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,33,,,522240,0.9996132850646973,0.0003867953782901168,0.0003867953782901168,0.019667114132228877,4.595588688971475e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,34,,,522240,0.9998583793640137,0.0001416973100276664,0.0001416973100276664,0.01190366792327753,-1.5318628356908448e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,35,,,522240,0.9999445080757141,5.553002847591415e-05,5.553002847591415e-05,0.007451847319686183,-1.3403800039668567e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,36,,,522240,0.9997453689575195,0.00025467219529673457,0.00025467219529673457,0.01595845215855017,-2.106311330862809e-05
